country,countryLabel,qid,iso3
http://www.wikidata.org/entity/Q889,Afghanistan,Q889,AFG
http://www.wikidata.org/entity/Q222,Albania,Q222,ALB
http://www.wikidata.org/entity/Q262,Algeria,Q262,DZA
http://www.wikidata.org/entity/Q228,Andorra,Q228,AND
http://www.wikidata.org/entity/Q916,Angola,Q916,AGO
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,Q781,ATG
http://www.wikidata.org/entity/Q414,Argentina,Q414,ARG
http://www.wikidata.org/entity/Q399,Armenia,Q399,ARM
http://www.wikidata.org/entity/Q408,Australia,Q408,AUS
http://www.wikidata.org/entity/Q40,Austria,Q40,AUT
http://www.wikidata.org/entity/Q227,Azerbaijan,Q227,AZE
http://www.wikidata.org/entity/Q398,Bahrain,Q398,BHR
http://www.wikidata.org/entity/Q902,Bangladesh,Q902,BGD
http://www.wikidata.org/entity/Q244,Barbados,Q244,BRB
http://www.wikidata.org/entity/Q184,Belarus,Q184,BLR
http://www.wikidata.org/entity/Q31,Belgium,Q31,BEL
http://www.wikidata.org/entity/Q242,Belize,Q242,BLZ
http://www.wikidata.org/entity/Q962,Benin,Q962,BEN
http://www.wikidata.org/entity/Q917,Bhutan,Q917,BTN
http://www.wikidata.org/entity/Q750,Bolivia,Q750,BOL
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,Q225,BIH
http://www.wikidata.org/entity/Q963,Botswana,Q963,BWA
http://www.wikidata.org/entity/Q155,Brazil,Q155,BRA
http://www.wikidata.org/entity/Q921,Brunei,Q921,BRN
http://www.wikidata.org/entity/Q219,Bulgaria,Q219,BGR
http://www.wikidata.org/entity/Q965,Burkina Faso,Q965,BFA
http://www.wikidata.org/entity/Q967,Burundi,Q967,BDI
http://www.wikidata.org/entity/Q424,Cambodia,Q424,KHM
http://www.wikidata.org/entity/Q1009,Cameroon,Q1009,CMR
http://www.wikidata.org/entity/Q16,Canada,Q16,CAN
http://www.wikidata.org/entity/Q1011,Cape Verde,Q1011,CPV
http://www.wikidata.org/entity/Q929,Central African Republic,Q929,CAF
http://www.wikidata.org/entity/Q657,Chad,Q657,TCD
http://www.wikidata.org/entity/Q298,Chile,Q298,CHL
http://www.wikidata.org/entity/Q739,Colombia,Q739,COL
http://www.wikidata.org/entity/Q970,Comoros,Q970,COM
http://www.wikidata.org/entity/Q800,Costa Rica,Q800,CRI
http://www.wikidata.org/entity/Q224,Croatia,Q224,HRV
http://www.wikidata.org/entity/Q241,Cuba,Q241,CUB
http://www.wikidata.org/entity/Q229,Cyprus,Q229,CYP
http://www.wikidata.org/entity/Q213,Czech Republic,Q213,CZE
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,Q974,COD
http://www.wikidata.org/entity/Q35,Denmark,Q35,DNK
http://www.wikidata.org/entity/Q977,Djibouti,Q977,DJI
http://www.wikidata.org/entity/Q784,Dominica,Q784,DMA
http://www.wikidata.org/entity/Q786,Dominican Republic,Q786,DOM
http://www.wikidata.org/entity/Q736,Ecuador,Q736,ECU
http://www.wikidata.org/entity/Q79,Egypt,Q79,EGY
http://www.wikidata.org/entity/Q792,El Salvador,Q792,SLV
http://www.wikidata.org/entity/Q983,Equatorial Guinea,Q983,GNQ
http://www.wikidata.org/entity/Q986,Eritrea,Q986,ERI
http://www.wikidata.org/entity/Q191,Estonia,Q191,EST
http://www.wikidata.org/entity/Q1050,Eswatini,Q1050,SWZ
http://www.wikidata.org/entity/Q115,Ethiopia,Q115,ETH
http://www.wikidata.org/entity/Q702,Federated States of Micronesia,Q702,FSM
http://www.wikidata.org/entity/Q712,Fiji,Q712,FJI
http://www.wikidata.org/entity/Q33,Finland,Q33,FIN
http://www.wikidata.org/entity/Q142,France,Q142,FRA
http://www.wikidata.org/entity/Q1000,Gabon,Q1000,GAB
http://www.wikidata.org/entity/Q230,Georgia,Q230,GEO
http://www.wikidata.org/entity/Q183,Germany,Q183,DEU
http://www.wikidata.org/entity/Q117,Ghana,Q117,GHA
http://www.wikidata.org/entity/Q41,Greece,Q41,GRC
http://www.wikidata.org/entity/Q769,Grenada,Q769,GRD
http://www.wikidata.org/entity/Q774,Guatemala,Q774,GTM
http://www.wikidata.org/entity/Q1006,Guinea,Q1006,GIN
http://www.wikidata.org/entity/Q1007,Guinea-Bissau,Q1007,GNB
http://www.wikidata.org/entity/Q734,Guyana,Q734,GUY
http://www.wikidata.org/entity/Q790,Haiti,Q790,HTI
http://www.wikidata.org/entity/Q783,Honduras,Q783,HND
http://www.wikidata.org/entity/Q28,Hungary,Q28,HUN
http://www.wikidata.org/entity/Q189,Iceland,Q189,ISL
http://www.wikidata.org/entity/Q668,India,Q668,IND
http://www.wikidata.org/entity/Q252,Indonesia,Q252,IDN
http://www.wikidata.org/entity/Q794,Iran,Q794,IRN
http://www.wikidata.org/entity/Q796,Iraq,Q796,IRQ
http://www.wikidata.org/entity/Q27,Ireland,Q27,IRL
http://www.wikidata.org/entity/Q801,Israel,Q801,ISR
http://www.wikidata.org/entity/Q38,Italy,Q38,ITA
http://www.wikidata.org/entity/Q1008,Ivory Coast,Q1008,CIV
http://www.wikidata.org/entity/Q766,Jamaica,Q766,JAM
http://www.wikidata.org/entity/Q17,Japan,Q17,JPN
http://www.wikidata.org/entity/Q810,Jordan,Q810,JOR
http://www.wikidata.org/entity/Q232,Kazakhstan,Q232,KAZ
http://www.wikidata.org/entity/Q114,Kenya,Q114,KEN
http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,Q29999,NLD
http://www.wikidata.org/entity/Q710,Kiribati,Q710,KIR
http://www.wikidata.org/entity/Q817,Kuwait,Q817,KWT
http://www.wikidata.org/entity/Q813,Kyrgyzstan,Q813,KGZ
http://www.wikidata.org/entity/Q819,Laos,Q819,LAO
http://www.wikidata.org/entity/Q211,Latvia,Q211,LVA
http://www.wikidata.org/entity/Q822,Lebanon,Q822,LBN
http://www.wikidata.org/entity/Q1013,Lesotho,Q1013,LSO
http://www.wikidata.org/entity/Q1014,Liberia,Q1014,LBR
http://www.wikidata.org/entity/Q1016,Libya,Q1016,LBY
http://www.wikidata.org/entity/Q347,Liechtenstein,Q347,LIE
http://www.wikidata.org/entity/Q37,Lithuania,Q37,LTU
http://www.wikidata.org/entity/Q32,Luxembourg,Q32,LUX
http://www.wikidata.org/entity/Q1019,Madagascar,Q1019,MDG
http://www.wikidata.org/entity/Q1020,Malawi,Q1020,MWI
http://www.wikidata.org/entity/Q833,Malaysia,Q833,MYS
http://www.wikidata.org/entity/Q826,Maldives,Q826,MDV
http://www.wikidata.org/entity/Q912,Mali,Q912,MLI
http://www.wikidata.org/entity/Q233,Malta,Q233,MLT
http://www.wikidata.org/entity/Q709,Marshall Islands,Q709,MHL
http://www.wikidata.org/entity/Q1025,Mauritania,Q1025,MRT
http://www.wikidata.org/entity/Q1027,Mauritius,Q1027,MUS
http://www.wikidata.org/entity/Q96,Mexico,Q96,MEX
http://www.wikidata.org/entity/Q217,Moldova,Q217,MDA
http://www.wikidata.org/entity/Q235,Monaco,Q235,MCO
http://www.wikidata.org/entity/Q711,Mongolia,Q711,MNG
http://www.wikidata.org/entity/Q236,Montenegro,Q236,MNE
http://www.wikidata.org/entity/Q1028,Morocco,Q1028,MAR
http://www.wikidata.org/entity/Q1029,Mozambique,Q1029,MOZ
http://www.wikidata.org/entity/Q836,Myanmar,Q836,MMR
http://www.wikidata.org/entity/Q1030,Namibia,Q1030,NAM
http://www.wikidata.org/entity/Q697,Nauru,Q697,NRU
http://www.wikidata.org/entity/Q837,Nepal,Q837,NPL
http://www.wikidata.org/entity/Q664,New Zealand,Q664,NZL
http://www.wikidata.org/entity/Q811,Nicaragua,Q811,NIC
http://www.wikidata.org/entity/Q1032,Niger,Q1032,NER
http://www.wikidata.org/entity/Q1033,Nigeria,Q1033,NGA
http://www.wikidata.org/entity/Q423,North Korea,Q423,PRK
http://www.wikidata.org/entity/Q221,North Macedonia,Q221,MKD
http://www.wikidata.org/entity/Q20,Norway,Q20,NOR
http://www.wikidata.org/entity/Q842,Oman,Q842,OMN
http://www.wikidata.org/entity/Q843,Pakistan,Q843,PAK
http://www.wikidata.org/entity/Q695,Palau,Q695,PLW
http://www.wikidata.org/entity/Q219060,Palestine,Q219060,PSE
http://www.wikidata.org/entity/Q804,Panama,Q804,PAN
http://www.wikidata.org/entity/Q691,Papua New Guinea,Q691,PNG
http://www.wikidata.org/entity/Q733,Paraguay,Q733,PRY
http://www.wikidata.org/entity/Q148,People's Republic of China,Q148,CHN
http://www.wikidata.org/entity/Q419,Peru,Q419,PER
http://www.wikidata.org/entity/Q928,Philippines,Q928,PHL
http://www.wikidata.org/entity/Q36,Poland,Q36,POL
http://www.wikidata.org/entity/Q45,Portugal,Q45,PRT
http://www.wikidata.org/entity/Q846,Qatar,Q846,QAT
http://www.wikidata.org/entity/Q971,Republic of the Congo,Q971,COG
http://www.wikidata.org/entity/Q218,Romania,Q218,ROU
http://www.wikidata.org/entity/Q159,Russia,Q159,RUS
http://www.wikidata.org/entity/Q1037,Rwanda,Q1037,RWA
http://www.wikidata.org/entity/Q763,Saint Kitts and Nevis,Q763,KNA
http://www.wikidata.org/entity/Q760,Saint Lucia,Q760,LCA
http://www.wikidata.org/entity/Q757,Saint Vincent and the Grenadines,Q757,VCT
http://www.wikidata.org/entity/Q683,Samoa,Q683,WSM
http://www.wikidata.org/entity/Q238,San Marino,Q238,SMR
http://www.wikidata.org/entity/Q851,Saudi Arabia,Q851,SAU
http://www.wikidata.org/entity/Q1041,Senegal,Q1041,SEN
http://www.wikidata.org/entity/Q403,Serbia,Q403,SRB
http://www.wikidata.org/entity/Q1042,Seychelles,Q1042,SYC
http://www.wikidata.org/entity/Q1044,Sierra Leone,Q1044,SLE
http://www.wikidata.org/entity/Q334,Singapore,Q334,SGP
http://www.wikidata.org/entity/Q214,Slovakia,Q214,SVK
http://www.wikidata.org/entity/Q215,Slovenia,Q215,SVN
http://www.wikidata.org/entity/Q685,Solomon Islands,Q685,SLB
http://www.wikidata.org/entity/Q1045,Somalia,Q1045,SOM
http://www.wikidata.org/entity/Q258,South Africa,Q258,ZAF
http://www.wikidata.org/entity/Q884,South Korea,Q884,KOR
http://www.wikidata.org/entity/Q958,South Sudan,Q958,SSD
http://www.wikidata.org/entity/Q29,Spain,Q29,ESP
http://www.wikidata.org/entity/Q854,Sri Lanka,Q854,LKA
http://www.wikidata.org/entity/Q1049,Sudan,Q1049,SDN
http://www.wikidata.org/entity/Q730,Suriname,Q730,SUR
http://www.wikidata.org/entity/Q34,Sweden,Q34,SWE
http://www.wikidata.org/entity/Q39,Switzerland,Q39,CHE
http://www.wikidata.org/entity/Q858,Syria,Q858,SYR
http://www.wikidata.org/entity/Q1039,São Tomé and Príncipe,Q1039,STP
http://www.wikidata.org/entity/Q865,Taiwan,Q865,TWN
http://www.wikidata.org/entity/Q863,Tajikistan,Q863,TJK
http://www.wikidata.org/entity/Q924,Tanzania,Q924,TZA
http://www.wikidata.org/entity/Q869,Thailand,Q869,THA
http://www.wikidata.org/entity/Q778,The Bahamas,Q778,BHS
http://www.wikidata.org/entity/Q1005,The Gambia,Q1005,GMB
http://www.wikidata.org/entity/Q945,Togo,Q945,TGO
http://www.wikidata.org/entity/Q678,Tonga,Q678,TON
http://www.wikidata.org/entity/Q754,Trinidad and Tobago,Q754,TTO
http://www.wikidata.org/entity/Q948,Tunisia,Q948,TUN
http://www.wikidata.org/entity/Q43,Turkey,Q43,TUR
http://www.wikidata.org/entity/Q874,Turkmenistan,Q874,TKM
http://www.wikidata.org/entity/Q672,Tuvalu,Q672,TUV
http://www.wikidata.org/entity/Q1036,Uganda,Q1036,UGA
http://www.wikidata.org/entity/Q212,Ukraine,Q212,UKR
http://www.wikidata.org/entity/Q878,United Arab Emirates,Q878,ARE
http://www.wikidata.org/entity/Q145,United Kingdom,Q145,GBR
http://www.wikidata.org/entity/Q30,United States,Q30,USA
http://www.wikidata.org/entity/Q77,Uruguay,Q77,URY
http://www.wikidata.org/entity/Q265,Uzbekistan,Q265,UZB
http://www.wikidata.org/entity/Q686,Vanuatu,Q686,VUT
http://www.wikidata.org/entity/Q237,Vatican City,Q237,VAT
http://www.wikidata.org/entity/Q717,Venezuela,Q717,VEN
http://www.wikidata.org/entity/Q881,Vietnam,Q881,VNM
http://www.wikidata.org/entity/Q805,Yemen,Q805,YEM
http://www.wikidata.org/entity/Q953,Zambia,Q953,ZMB
http://www.wikidata.org/entity/Q954,Zimbabwe,Q954,ZWE
http://www.wikidata.org/entity/Q21203,Aruba,Q21203,ABW
http://www.wikidata.org/entity/Q25228,Anguilla,Q25228,AIA
http://www.wikidata.org/entity/Q5689,Åland,Q5689,ALA
http://www.wikidata.org/entity/Q16641,American Samoa,Q16641,ASM
http://www.wikidata.org/entity/Q51,Antarctica,Q51,ATA
http://www.wikidata.org/entity/Q129003,French Southern and Antarctic Lands,Q129003,ATF
http://www.wikidata.org/entity/Q25362,Saint Barthélemy,Q25362,BLM
http://www.wikidata.org/entity/Q23635,Bermuda,Q23635,BMU
http://www.wikidata.org/entity/Q26988,Cook Islands,Q26988,COK
http://www.wikidata.org/entity/Q25279,Curaçao,Q25279,CUW
http://www.wikidata.org/entity/Q5785,Cayman Islands,Q5785,CYM
http://www.wikidata.org/entity/Q6250,Western Sahara,Q6250,ESH
http://www.wikidata.org/entity/Q9648,Falkland Islands,Q9648,FLK
http://www.wikidata.org/entity/Q4628,Faroe Islands,Q4628,FRO
http://www.wikidata.org/entity/Q25230,Guernsey,Q25230,GGY
http://www.wikidata.org/entity/Q223,Greenland,Q223,GRL
http://www.wikidata.org/entity/Q16635,Guam,Q16635,GUM
http://www.wikidata.org/entity/Q8646,Hong Kong,Q8646,HKG
http://www.wikidata.org/entity/Q131198,Heard Island and McDonald Islands,Q131198,HMD
http://www.wikidata.org/entity/Q9676,Isle of Man,Q9676,IMN
http://www.wikidata.org/entity/Q43448,British Indian Ocean Territory,Q43448,IOT
http://www.wikidata.org/entity/Q785,Jersey,Q785,JEY
http://www.wikidata.org/entity/Q14773,Macau,Q14773,MAC
http://www.wikidata.org/entity/Q126125,Saint-Martin,Q126125,MAF
http://www.wikidata.org/entity/Q16644,Northern Mariana Islands,Q16644,MNP
http://www.wikidata.org/entity/Q13353,Montserrat,Q13353,MSR
http://www.wikidata.org/entity/Q33788,New Caledonia,Q33788,NCL
http://www.wikidata.org/entity/Q31057,Norfolk Island,Q31057,NFK
http://www.wikidata.org/entity/Q34020,Niue,Q34020,NIU
http://www.wikidata.org/entity/Q35672,Pitcairn Islands,Q35672,PCN
http://www.wikidata.org/entity/Q1183,Puerto Rico,Q1183,PRI
http://www.wikidata.org/entity/Q30971,French Polynesia,Q30971,PYF
http://www.wikidata.org/entity/Q35086,South Georgia and the South Sandwich Islands,Q35086,SGS
http://www.wikidata.org/entity/Q192184,"Saint Helena, Ascension and Tristan da Cunha",Q192184,SHN
http://www.wikidata.org/entity/Q34617,Saint Pierre and Miquelon,Q34617,SPM
http://www.wikidata.org/entity/Q26273,Sint Maarten,Q26273,SXM
http://www.wikidata.org/entity/Q18221,Turks and Caicos Islands,Q18221,TCA
http://www.wikidata.org/entity/Q574,Timor-Leste,Q574,TLS
http://www.wikidata.org/entity/Q25305,British Virgin Islands,Q25305,VGB
http://www.wikidata.org/entity/Q11703,United States Virgin Islands,Q11703,VIR
http://www.wikidata.org/entity/Q35555,Wallis and Futuna,Q35555,WLF
http://www.wikidata.org/entity/Q1246,Kosovo,Q1246,XKX
http://www.wikidata.org/entity/Q23681,Northern Cyprus,Q23681,CYN
http://www.wikidata.org/entity/Q34754,Somaliland,Q34754,SOL
